"artist","title","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","valence","label"
"Carl Cox Vs Yousef","I Want You (Forever)","4.75E-4","0.671","0.969","0.822","4","0.0471","-5.683","0","0.0475","130.0","0.288","0"
"Organized Konfusion","Hate","0.00503","0.844","0.475","0.0","11","0.19","-9.027","1","0.414","88.107","0.658","0"
"Martina McBride","I Can't Stop Loving You","0.739","0.473","0.238","1.31E-4","7","0.113","-11.829","1","0.0252","66.657","0.355","1"
"Horace Andy","Thank You Lord","0.532","0.733","0.565","3.1E-6","11","0.0912","-9.876","0","0.112","76.046","0.872","1"
"Tyrone Davis","Cheatin' In The Next Room","0.426","0.692","0.435","0.00104","10","0.0668","-10.728","1","0.0374","80.989","0.713","0"
"Hot Tuna","Candy Man","0.452","0.362","0.41","2.07E-6","7","0.679","-15.77","1","0.0365","85.952","0.647","0"
"Richard Burton","I See The Boys Of Summer","0.88","0.694","0.0373","0.0","7","0.145","-25.234","1","0.495","105.197","0.431","0"
"Rory Block","Three Is a Crowd","0.854","0.287","0.227","1.45E-5","1","0.117","-13.09","1","0.0331","180.805","0.336","0"
"Boyz II Men","On Bended Knee","0.413","0.631","0.516","0.0","8","0.115","-8.225","1","0.0353","116.654","0.18","1"
"Howard Armstrong","My Four Reasons","0.788","0.737","0.417","5.64E-6","5","0.362","-12.997","1","0.19","126.955","0.931","0"
"Miguel Gallardo","Eternamente Amame","0.661","0.63","0.461","0.0","7","0.121","-12.377","0","0.0315","126.414","0.348","0"
"Les Ogres De Barback","Niev nietch nievitch","0.406","0.639","0.762","0.524","4","0.0563","-5.76","0","0.0701","137.165","0.93","0"
"Wolfmother","White Feather","2.46E-4","0.578","0.862","3.08E-5","9","0.381","-4.492","1","0.053","111.499","0.646","0"
"The Roches","Christlike Roche","0.962","0.423","0.121","2.05E-4","2","0.119","-13.303","0","0.0324","93.463","0.16","0"
"Bob Margolin","You Rascal You","0.941","0.836","0.346","1.74E-4","4","0.114","-11.393","1","0.0538","110.144","0.964","1"
"Thomas Battenstein","Sympathy","0.881","0.557","0.144","0.71","9","0.106","-15.877","0","0.052","103.688","0.18","0"
"Dharma Bums","Simon's Folly","0.0441","0.385","0.904","0.603","6","0.0671","-4.855","1","0.0426","156.803","0.565","0"
"The Verve Pipe","Medicate Myself","0.00143","0.511","0.781","0.0","9","0.0826","-4.641","1","0.0426","133.575","0.424","0"
"Bob Neuwirth","Biding Her Time","0.8","0.538","0.0592","1.03E-4","4","0.0859","-17.066","1","0.042","151.503","0.326","0"
"James Hunter","Cowboy Ways","0.173","0.767","0.651","0.0","2","0.165","-5.762","1","0.0271","114.972","0.701","0"
"Nelson Ned","Brasas Vivas","0.755","0.397","0.328","3.0E-5","9","0.118","-13.928","0","0.0346","71.875","0.368","0"
"Mish Mash","Kolomeyke","0.753","0.551","0.344","0.635","2","0.0859","-9.022","1","0.0832","151.857","0.731","0"
"Maxi Priest","Groovin' In The Midnight","0.0401","0.652","0.645","2.29E-5","10","0.0739","-8.482","0","0.0414","92.945","0.555","1"
"Porcupine Tree","Waiting","0.00131","0.533","0.437","0.393","6","0.0597","-12.132","0","0.0255","94.019","0.455","0"
"Foo Fighters","Hell","1.26E-5","0.177","0.941","0.00302","7","0.314","-5.104","1","0.112","153.134","0.313","0"
"Shakira Featuring Wyclef Jean","Hips Don't Lie (featuring Wyclef Jean)","0.016","0.797","0.533","0.168","8","0.155","-9.554","0","0.069","99.989","0.688","0"
"Brazilian Tropical Orchestra","One Less Bell To Answer","0.388","0.149","0.39","0.783","2","0.177","-9.012","0","0.0289","77.588","0.221","0"
"Gil Semedo","Festa","0.0214","0.746","0.912","6.83E-4","11","0.0784","-6.528","1","0.0424","113.026","0.963","0"
"Soda Stereo","Te Hacen Falta Vitaminas","0.0516","0.582","0.966","0.231","2","0.0412","-3.712","1","0.0675","186.296","0.948","0"
"Xmilk","Sense And Trick","2.39E-5","0.31","0.944","0.876","0","0.104","-4.065","1","0.103","141.787","0.585","0"
"Britt Nicole","Hanging On (Medium Key Performance Track Without Background Vocals)","0.0152","0.638","0.432","0.768","6","0.121","-5.303","1","0.041","79.964","0.479","0"
"Schizoid","Grim Prospects (Version 2 Remix)","0.00152","0.506","0.95","0.118","6","0.0519","-2.173","0","0.35","135.75","0.0713","0"
"Perrey And Kingsley","Gossippo Perpetuo","0.616","0.605","0.86","0.914","7","0.144","-12.4","1","0.0407","136.032","0.964","0"
"Sven Tasnadi","2190 Dias Contigo","0.206","0.841","0.335","0.891","8","0.0989","-11.886","1","0.0613","123.028","0.354","0"
"Eddie","No Control","0.0342","0.614","0.789","0.00132","9","0.114","-10.241","1","0.0342","113.701","0.899","0"
"Enthroned","The Vitalized Shell","1.28E-4","0.163","0.993","0.0235","0","0.435","-4.765","0","0.111","136.528","0.0349","0"
"Suzanne Ciani","Mozart","0.983","0.216","0.109","0.911","0","0.128","-15.988","1","0.0301","81.461","0.0751","0"
"Milan Band","Ciao Milan","0.779","0.685","0.665","1.05E-5","8","0.0666","-8.64","1","0.0362","128.495","0.733","0"
"Johnny Osbourne","Lend Me Your Chopper","8.48E-4","0.717","0.685","3.96E-5","6","0.115","-9.979","1","0.194","163.793","0.55","1"
"Dolly Parton","Letter To Heaven","0.795","0.551","0.0776","0.0","4","0.181","-15.96","1","0.0767","162.546","0.575","1"
"Rance Allen Group","Heaven is Where The Heart Is","0.862","0.555","0.301","0.00395","7","0.0947","-14.256","1","0.0848","85.908","0.397","0"
"Pearl Jam","Inside Job","0.329","0.283","0.487","0.0101","4","0.205","-7.979","0","0.0397","109.685","0.0739","0"
"Kiril Valeri","Bulgarian Dream","0.0666","0.471","0.911","0.0187","11","0.141","-6.815","1","0.135","191.947","0.498","0"
"Word","Amalgama","0.451","0.699","0.891","0.0","9","0.0575","-3.573","1","0.295","94.058","0.736","0"
"DJ Quik","Born and Raised In Compton","0.0239","0.733","0.442","0.0","10","0.133","-14.498","0","0.37","181.634","0.86","0"
"Hank Locklin","We're Gonna Go Fishin'","0.726","0.668","0.518","1.25E-5","2","0.0913","-11.549","1","0.047","147.713","0.944","0"
"The Jordanaires","Sweet By And By","0.677","0.544","0.244","0.0","0","0.129","-17.046","1","0.0454","159.559","0.482","0"
"Descendents","Orgofart","0.673","0.597","0.208","0.0","0","0.36","-28.808","1","0.914","78.525","0.0376","0"
"L.A. Guns","Bitch Is Back","3.12E-4","0.59","0.944","0.00265","1","0.326","-7.258","0","0.0462","123.404","0.368","1"
"Bare Jr.","Naked Albino","0.0499","0.408","0.708","5.68E-6","10","0.746","-7.334","1","0.0462","107.467","0.366","0"
"Gary Hobbs","The Look Of Love","0.782","0.56","0.524","0.237","0","0.0951","-8.483","1","0.0664","125.217","0.709","0"
"Diesel Boy","Cooler Than You","5.3E-4","0.437","0.966","2.49E-4","11","0.138","-4.788","1","0.0653","111.907","0.743","0"
"Cradle Of Filth","Summer Dying Fast","9.25E-4","0.205","0.95","0.1","2","0.432","-5.769","0","0.108","97.761","0.0635","1"
"Jim Chappell","Still","0.984","0.258","0.107","0.851","0","0.0818","-18.241","1","0.0452","75.167","0.0387","1"
"Nine Inch Nails","The Frail","0.946","0.189","0.00423","0.898","0","0.244","-34.898","1","0.0436","72.819","0.203","0"
"Susana Seivane","Para Milladoiro","0.00187","0.378","0.492","0.81","10","0.0796","-12.501","1","0.0284","152.041","0.215","0"
"Test Icicles","Snowball","0.00126","0.516","0.931","2.14E-6","9","0.0892","-3.351","1","0.0784","150.044","0.647","0"
"Heaven 17","(We Don't Need This) Fascist Groove Thang","0.216","0.691","0.931","0.656","7","0.631","-7.457","1","0.121","150.093","0.684","0"
"Mance Lipscomb","Going Down Slow","0.975","0.606","0.0731","0.00579","4","0.108","-21.566","1","0.0555","100.368","0.674","0"
"Scott Wesley Brown","All Rise","0.583","0.256","0.312","6.01E-5","2","0.107","-13.987","1","0.0313","68.731","0.084","1"
"Moss","Silent Hill","0.00384","0.266","0.699","0.631","9","0.511","-7.491","0","0.0369","111.115","0.133","0"
"Pery Ribeiro","Our Love Is Here To Stay","0.905","0.728","0.304","4.72E-4","7","0.337","-17.358","1","0.041","133.108","0.451","0"
"Soular","Everything Changes","0.001","0.549","0.714","0.875","6","0.121","-6.807","1","0.0339","110.026","0.224","0"
"Dimmu Borgir","Master Of Disharmony","6.25E-6","0.153","0.958","0.545","9","0.345","-5.637","1","0.0766","106.551","0.124","0"
"Public Image Ltd","(This Is Not A) Love Song (Live)","0.00261","0.573","0.705","7.6E-4","9","0.31","-7.315","0","0.055","129.04","0.439","0"
"Gary Moore","What Are We Here For","0.00112","0.542","0.745","0.0043","2","0.235","-6.769","1","0.0344","76.929","0.444","0"
"Pascal Sangla","Une petite pause","0.511","0.536","0.272","0.873","9","0.0677","-14.858","1","0.0281","92.845","0.301","0"
"The B-52's","Wig","0.0036","0.595","0.939","0.0","0","0.161","-8.014","1","0.0507","124.124","0.801","0"
"Dakis","Perasmena Mesanihta","0.351","0.582","0.52","0.0","2","0.323","-8.194","0","0.0318","100.093","0.536","0"
"Sex Pistols","God Save the Queen (Live)","9.82E-4","0.276","0.978","2.39E-5","8","0.938","-5.837","1","0.0763","152.72","0.235","0"
"Chris Brown","Forever","0.0368","0.672","0.82","1.88E-4","11","0.184","-4.456","1","0.0459","120.005","0.438","1"
"Hem","Have Yourself A Merry Little Christmas","0.937","0.508","0.0696","0.0","5","0.123","-14.554","1","0.0352","85.617","0.331","0"
"Lily Allen","U Killed It","0.0504","0.645","0.647","6.9E-5","4","0.0672","-6.194","0","0.0342","77.999","0.605","1"
"Pentangle","Rain And Snow","0.32","0.411","0.665","0.0","5","0.132","-10.217","1","0.0372","178.796","0.856","0"
"DJ Dips","Gerra De De","0.19","0.763","0.897","7.97E-4","1","0.106","-5.88","1","0.134","129.985","0.916","0"
"Ana Bekuta","Kako mi je pitas sad","0.0515","0.616","0.534","6.41E-6","0","0.0961","-13.948","1","0.0441","160.221","0.916","0"
"Jason Miles","Voices On The Corner","0.00991","0.85","0.53","0.814","8","0.129","-9.676","1","0.0951","101.014","0.539","1"
"Busdriver","(Bloody Paw On The) Kill Floor","0.175","0.768","0.836","0.0","6","0.298","-5.64","1","0.172","77.509","0.731","0"
"Byther Smith","I Wish My Mother Was Here","0.126","0.615","0.512","0.00167","1","0.0931","-11.501","1","0.0368","117.61","0.775","1"
"Bebo & Cigala","Inolvidable","0.787","0.57","0.338","3.06E-4","2","0.708","-11.931","0","0.0526","138.844","0.486","0"
"Bizarre Inc","Miracle","0.00895","0.613","0.783","0.00812","1","0.205","-9.03","0","0.0291","139.826","0.415","0"
"Bongzilla","Witch Weed (Live)","1.88E-4","0.115","0.905","0.209","9","0.189","-7.437","1","0.131","83.979","0.193","0"
"The Gone Jackals","Not Buried Deep Enough","3.87E-4","0.395","0.886","1.48E-5","4","0.0938","-13.165","1","0.0615","101.562","0.224","0"
"The Willis Brothers","Give Me 40 Acres (To Turn This Rig Around)","0.502","0.713","0.625","0.0","7","0.119","-7.764","1","0.0543","122.416","0.961","0"
"Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd","Ernesto Nazareth","0.973","0.425","0.105","0.905","2","0.101","-24.318","0","0.0499","96.438","0.414","0"
"Boogie Pimps","Get Back Down","0.00508","0.919","0.469","0.729","10","0.126","-7.404","0","0.162","124.994","0.317","1"
"Brian Keane","Battle Of The Rosebud / Cries","0.809","0.172","0.068","0.966","6","0.15","-31.119","0","0.0439","118.222","0.0431","0"
"Aberdeen","Beyond the Light","0.00937","0.323","0.836","0.453","9","0.289","-12.896","1","0.0454","135.684","0.662","0"
"The Killers","Spaceman","0.00257","0.525","0.904","6.48E-4","4","0.12","-5.488","1","0.0532","151.988","0.803","0"
"20/20","It Goes On","0.015","0.553","0.598","0.0439","11","0.0729","-13.744","1","0.0266","101.192","0.379","0"
"Orbital","Illuminate","8.63E-4","0.597","0.837","0.0","5","0.107","-6.382","1","0.0385","125.971","0.531","0"
"Bone Thugs-N-Harmony / Akon","Never Forget Me","0.0304","0.663","0.491","0.0","1","0.0952","-7.194","1","0.0601","76.957","0.0427","1"
"Moonsorrow","Ukkosenjumalan poika","1.48E-6","0.188","0.977","0.875","9","0.133","-5.103","1","0.0931","129.522","0.117","0"
"Rage Against The Machine","Kick Out The Jams","4.22E-4","0.44","0.937","2.35E-5","2","0.799","-2.418","1","0.0623","116.42","0.498","0"
"Jazz Gillum","Me And My Buddy","0.729","0.801","0.303","0.00215","5","0.318","-15.667","0","0.149","101.253","0.834","0"
"Rise Against","Amber Changing","1.77E-4","0.315","0.968","9.38E-5","10","0.129","-3.554","0","0.139","105.692","0.518","0"
"Ultraviolence","Murder Academy","0.0246","0.668","0.942","0.895","1","0.0721","-5.945","1","0.0927","105.206","0.0336","0"
"Korn","Hey Daddy","5.18E-5","0.465","0.803","0.0465","7","0.0809","-6.764","1","0.0452","93.899","0.493","0"
"Sir Neville Marriner","4 Sea Interludes Op. 33a: Storm","0.82","0.265","0.303","0.567","4","0.0908","-16.811","1","0.0444","99.049","0.144","0"
"Agnes","I Need You Now","0.0234","0.587","0.659","1.12E-6","7","0.161","-4.179","1","0.0293","123.976","0.29","0"
"James Horner","Atmosphere Station","0.7","0.17","0.00638","0.788","9","0.105","-39.486","1","0.0493","116.477","0.0327","0"
"Tantric","Walk Away","2.21E-4","0.514","0.973","3.7E-6","2","0.117","-1.992","1","0.0422","160.048","0.871","0"
"Mastodon","Shadows That Move","1.02E-5","0.309","0.972","0.142","1","0.202","-3.889","1","0.127","134.013","0.564","0"
"Xcultures","Smile","0.632","0.315","0.301","0.00811","9","0.608","-16.693","0","0.054","121.488","0.425","0"
"The Irish Tenors","Mountains Of Mourne","0.945","0.55","0.141","1.64E-6","10","0.735","-17.57","1","0.208","120.689","0.257","0"
"U2","Kite Live from Sydney","0.107","0.475","0.547","0.00269","3","0.971","-7.75","1","0.0282","133.927","0.137","0"
"Korn","Ever Be","1.64E-4","0.474","0.902","0.262","0","0.231","-6.087","1","0.0491","160.056","0.324","0"
"Percy Faith","Yesterdays","0.796","0.211","0.318","1.37E-4","0","0.265","-13.833","0","0.0317","96.854","0.243","0"
"Extreme","Teacher's Pet","0.0683","0.603","0.81","2.12E-4","6","0.365","-9.682","1","0.0477","120.114","0.722","0"
"Prozak","Go To Hell","0.0474","0.54","0.718","0.0","1","0.177","-5.866","1","0.429","177.898","0.263","0"
"Yvette Horner","La Plus Bath Des Javas","0.448","0.688","0.493","0.707","7","0.0427","-5.903","1","0.103","161.673","0.958","0"
"Delta 9","Infidel","0.907","0.479","0.911","0.877","1","0.261","-7.766","1","0.495","70.699","0.305","0"
"Placebo","English Summer Rain","0.00418","0.573","0.909","0.00333","10","0.0825","-7.894","0","0.0516","108.27","0.517","0"
"Gertrudis","Intro","0.529","0.562","0.45","9.11E-4","9","0.643","-12.258","0","0.0279","97.797","0.547","0"
"Warrior King","Empress So Divine","0.162","0.632","0.63","0.0","10","0.0385","-4.851","1","0.0704","80.66","0.728","1"
"Soda Stereo","Terapia De Amor Intensiva","0.251","0.593","0.672","0.418","7","0.555","-7.417","1","0.0256","91.294","0.64","0"
"LORE","Haunting","0.0178","0.623","0.493","8.73E-4","8","0.173","-10.982","0","0.0414","129.959","0.218","0"
"Soul Asylum","Lies Of Hate","0.00275","0.493","0.87","5.9E-4","11","0.181","-6.656","0","0.033","103.073","0.33","0"
"Horace Andy","Musical Episode","0.114","0.681","0.681","0.0088","1","0.044","-8.307","1","0.217","154.446","0.811","0"
"Jimmy Wakely","Beautiful Brown eyes","0.92","0.557","0.175","0.0","2","0.137","-14.638","1","0.0318","109.612","0.386","0"
"RUN-DMC","Hard Times","0.0135","0.857","0.924","0.00118","0","0.0746","-6.236","0","0.0611","119.759","0.631","0"
"Lady May","The Boss","9.21E-4","0.595","0.844","0.0","1","0.0805","-5.21","1","0.0785","124.261","0.342","0"
"Nightwish","Escapist","4.73E-4","0.512","0.926","0.843","7","0.345","-3.556","0","0.0371","143.954","0.354","0"
"!!!","Myth Takes","0.133","0.754","0.77","0.747","11","0.293","-7.83","0","0.0272","97.109","0.904","0"
"The Secret Life of Teenage Girls","Carpe PM","9.33E-6","0.442","0.841","0.895","7","0.278","-9.155","1","0.0591","88.991","0.121","0"
